,est_diameter_min,relative_velocity,absolute_magnitude,hazardous
102,0.2694976463,96789.9761910367,19.97,0
103,0.0913177026,25026.3494146218,22.32,0
104,0.1272198785,59454.9149473231,21.6,0
105,0.3346223745,82722.6191509304,19.5,1
106,0.0133215567,47824.6138637976,26.5,0
107,0.058150704,42486.4443653906,23.3,0
108,0.1925550782,45851.837052627,20.7,0
109,0.1414343753,53188.8859866182,21.37,1
110,1.4078454339,20431.9006108626,16.38,0
111,0.3094246986,35424.5949860877,19.67,0
112,0.0167708462,18373.8871501844,26.0,0
113,0.02658,31621.788747005,25.0,0
114,0.3346223745,46693.004052838,19.5,0
115,0.0073207399,27295.2306281084,27.8,0
116,0.1414343753,30806.149055815,21.37,1
117,0.0732073989,60614.6323790182,22.8,0
118,0.0421264611,71055.4781243113,24.0,0
119,1.5507970872,44991.4524371593,16.17,0
120,0.1108038821,88216.3761291569,21.9,0
121,1.5224918504,44991.3477629016,16.21,0
122,0.2315021222,49211.3599431631,20.3,0
123,0.0319561887,51531.0295927896,24.6,0
124,0.3051792326,64788.305834547,19.7,0
125,0.058150704,42545.6418800761,23.3,0
126,0.0896509666,63776.3904782532,22.36,0
127,0.010012787,49256.00824181,27.12,0
128,0.0506471459,43948.7237532503,23.6,0
129,0.3195618867,76744.7714542748,19.6,0
130,0.052547853,54406.2431049127,23.52,0
131,0.0278326768,20944.8035940873,24.9,0
132,0.3051792326,95061.6636303395,19.7,0
133,0.2954982931,48952.7610389629,19.77,0
134,0.04411182,57716.2171807441,23.9,0
135,0.1677084622,55369.9434596245,21.0,0
136,0.3754524794,91343.4208554485,19.25,0
137,0.0366906138,100967.3726233367,24.3,0
138,0.1925550782,107904.8997589694,20.7,0
139,0.0766575574,34791.0195131565,22.7,0
140,0.0122618211,42854.8683231911,26.68,0
141,0.009830033,96128.4706760272,27.16,0
142,0.6376097899,88276.6642395618,18.1,0
143,0.3346223745,50526.5505373339,19.5,0
144,0.0319561887,38796.4598154052,24.6,0
145,0.3669061375,64966.8062796185,19.3,0
146,0.1332155667,53881.4644721636,21.5,0
147,0.0844413128,46763.7882416147,22.49,0
148,0.4023045798,95019.5065775062,19.1,0
149,0.009830033,35067.5800807006,27.16,0
150,0.0121494041,46519.5368844605,26.7,0
151,0.0350392641,74970.0833469343,24.4,0
152,0.096506147,68192.2095610093,22.2,0
153,0.0303777061,18532.7034633018,24.71,0
154,0.2538370294,82669.7341981465,20.1,1
155,0.0876102615,45297.5335956011,22.41,0
156,0.2210828104,76550.4236413868,20.4,0
157,0.0649463841,51937.7834260764,23.06,0
158,0.4004561582,119266.8350688706,19.11,0
159,0.5553349116,105445.8045904212,18.4,0
160,0.7808272775,45243.8608660916,17.66,1
161,0.1680176773,46886.7300513581,20.996,0
162,0.2585562121,111633.2619003137,20.06,0
163,0.0092162655,43245.8643307216,27.3,0
164,0.5303407233,80306.328648478,18.5,0
165,0.0291443905,51543.0180985097,24.8,0
166,0.0133215567,68755.5027538085,26.5,0
167,0.022108281,37160.4966602944,25.4,0
168,0.02658,25958.4232315643,25.0,0
169,0.0128989683,72458.0660864826,26.57,0
170,0.4836764882,75735.3487638467,18.7,0
171,0.8366715019,48594.9019041619,17.51,1
172,0.634680239,99305.7966367884,18.11,0
173,0.2390864572,26416.3852941287,20.23,1
174,0.0667659413,19290.8910480371,23.0,0
175,0.008405334,23935.8910495148,27.5,0
176,0.0699125232,30255.5399777553,22.9,0
177,0.0608912622,30603.9076591847,23.2,0
178,0.0211132445,76615.366009761,25.5,0
179,0.365220357,51150.7621830215,19.31,0
180,0.0133215567,60691.7244358559,26.5,0
181,0.0105816886,26345.6001071035,27.0,0
182,0.1301832102,83711.7274091803,21.55,1
183,0.2515098375,83795.7449714065,20.12,0
184,0.3051792326,96423.869007796,19.7,0
185,0.0840533402,49422.4311377905,22.5,0
186,0.1272198785,79895.5644095813,21.6,0
187,0.0183888672,96103.0421048596,25.8,0
188,0.0291443905,49288.6581013289,24.8,0
189,0.0211132445,34188.8072693499,25.5,0
190,0.0253837029,39791.8679123304,25.1,0
191,2.8350124902,101894.6304409878,14.86,0
192,0.235806068,39251.0578707443,20.26,0
193,0.4310771239,85158.1295152668,18.95,0
194,0.0732073989,23238.1147933969,22.8,0
195,0.2796114661,74772.1262570936,19.89,0
196,0.0802703167,22778.8986097376,22.6,0
197,0.1332155667,34803.0199650572,21.5,0
198,0.1010543415,62495.5379562936,22.1,0
199,0.3346223745,81401.7407267596,19.5,1
200,0.3194147569,81409.2711338347,19.601,1
201,0.0100590039,9941.5976121181,27.11,0
202,0.0802703167,32253.322341802,22.6,0
203,0.2315021222,95334.1465860868,20.3,0
204,0.0608912622,36101.8117501142,23.2,0
205,0.0178055329,66448.2450943242,25.87,0
206,0.7154099509,76004.5561903523,17.85,0
207,0.1970402621,81739.7792256906,20.65,0
208,0.1272198785,56298.8716919215,21.6,0
209,0.04411182,36795.4686045688,23.9,0
210,0.0840533402,17755.1579905041,22.5,0
211,0.0253837029,51686.5768296307,25.1,0
212,0.0555334912,29010.8984449413,23.4,0
213,0.1108038821,72215.1336933572,21.9,1
214,0.0060891262,56007.882349821,28.2,0
215,0.02658,44589.5208517212,25.0,0
216,0.0291443905,13504.6830859974,24.8,0
217,0.7916896669,118940.5412884019,17.63,0
218,0.1925550782,64022.1885437951,20.7,1
219,0.0110803882,50175.2093220457,26.9,0
220,0.04411182,33080.6453822298,23.9,0
221,0.0201629919,19536.4499614473,25.6,0
222,0.0088014652,39828.254041129,27.4,0
223,0.037201031,55889.8824468787,24.27,0
224,0.0159424468,55101.5946909011,26.11,0
225,0.2538370294,17896.0597075417,20.1,0
226,0.1077841687,80962.5535662751,21.96,0
227,0.02658,86729.7074654426,25.0,0
228,0.1925550782,83629.2220181284,20.7,0
229,0.1460679643,49766.1146755466,21.3,0
230,0.096506147,85709.7587466673,22.2,0
231,0.0253837029,18999.3932963717,25.1,0
232,0.1838886721,121247.4981567218,20.8,0
233,0.0058150704,54355.2945560186,28.3,0
234,0.0969515991,66869.0233177882,22.19,0
235,0.4290965044,107854.1590787536,18.96,1
236,0.096506147,66869.0234320075,22.2,0
237,0.0181365625,29161.6080611796,25.83,0
238,0.2658,96280.1783862599,20.0,1
239,0.0278326768,100535.1041178475,24.9,0
240,0.0334622374,58976.551601527,24.5,0
241,0.0350392641,116288.9995483332,24.4,0
242,0.0066765941,81281.7352838531,28.0,0
243,0.0921626549,31955.8102235126,22.3,0
244,0.058150704,51927.2722942715,23.3,0
245,0.1214940408,28651.9083234466,21.7,0
246,0.0146067964,7780.3401132176,26.3,0
247,0.0253837029,14765.5285175084,25.1,0
248,0.1394938229,63761.517761598,21.4,0
249,0.2538370294,89482.6647265259,20.1,0
250,0.04411182,69419.9772854503,23.9,0
251,0.0116025908,85338.9500829325,26.8,0
252,0.0334622374,43227.9621147172,24.5,0
253,0.1198270801,86220.6111455594,21.73,0
254,0.4023045798,60690.3409045271,19.1,0
255,0.0136318556,24061.4750870466,26.45,0
256,0.1108038821,44375.2879855061,21.9,1
257,0.1394938229,96984.7116703045,21.4,1
258,0.1925550782,96631.4400883477,20.7,0
259,0.0088014652,57190.5982132657,27.4,0
260,0.0127219879,37369.9033937996,26.6,0
261,0.2821986791,49291.8634694311,19.87,0
262,1.4208720673,77783.5776843382,16.36,0
263,0.3346223745,94426.2546985804,19.5,0
264,0.096506147,51667.9054171664,22.2,0
265,0.1460679643,125015.7533881835,21.3,1
266,0.0421264611,76563.7725754678,24.0,0
267,0.0101054342,40253.639584194,27.1,0
268,0.7808272775,74519.1785834089,17.66,0
269,0.1160259082,32506.2812552735,21.8,0
270,0.0160160338,29295.6641487588,26.1,0
271,0.2901048414,69297.7653395215,19.81,1
272,0.0175612318,50914.9032831965,25.9,0
273,0.0802703167,43724.1932061577,22.6,0
274,0.046190746,33692.5327417513,23.8,0
275,0.0802703167,50622.1562616955,22.6,0
276,0.2111324448,45380.5317836248,20.5,1
277,0.058150704,72558.4941657065,23.3,0
278,0.0170041519,26567.7739384566,25.97,0
279,0.67383719,35339.1231777818,17.98,0
280,0.9131770255,19324.2600891716,17.32,0
281,0.5064714588,19324.2600891716,18.6,0
282,0.2390864572,57366.660911314,20.23,0
283,0.1108038821,59817.494937433,21.9,0
284,0.0160160338,37680.7883286035,26.1,0
285,0.1899131235,41773.6565673923,20.73,1
286,0.3195618867,41773.6565673923,19.6,0
287,0.0040230458,18568.5867397932,29.1,0
288,0.0483676488,29709.8638254442,23.7,0
289,0.3051792326,58332.3023229772,19.7,1
290,0.0437074004,66213.0718315924,23.92,0
291,0.1332155667,40798.486989049,21.5,0
292,0.2401900301,56442.6445392371,20.22,1
293,0.0319561887,81452.0919120289,24.6,0
294,0.0732073989,38021.6913401671,22.8,0
295,0.1058168859,26540.6823694503,22.0,0
296,0.3195618867,88374.7302987463,19.6,0
297,0.046190746,88374.7302987463,23.8,0
298,0.0699125232,43878.009317611,22.9,0
299,0.1997813652,54603.315818149,20.62,0
300,0.0667659413,39821.5683103561,23.0,0
301,0.1772372393,36181.3788486234,20.88,0
302,0.040230458,27923.2073125302,24.1,0
303,0.0101054342,21768.9496669228,27.1,0
304,0.0319561887,87242.8962131496,24.6,0
305,0.1113153296,94792.2835529369,21.89,1
306,0.0127219879,20739.1230655936,26.6,0
307,0.2111324448,39833.7390100552,20.5,0
308,0.6005580277,91677.0321008546,18.23,0
309,0.0483676488,8687.9811778274,23.7,0
310,0.1572370824,59355.2850035886,21.14,0
311,0.0880146521,59979.9217823096,22.4,0
312,0.1382149359,73799.6080924231,21.42,0
313,0.0880146521,87923.0311364156,22.4,0
314,0.0253837029,107115.5007008399,25.1,0
315,0.0183888672,32223.5071933954,25.8,0
316,0.4672560966,112633.4933789436,18.775,1
317,0.058150704,55594.6227259574,23.3,0
318,0.0506471459,50085.0300876008,23.6,0
319,0.0840533402,42253.9287470878,22.5,0
320,0.0211132445,85669.202796876,25.5,0
321,0.1272198785,69684.6126440574,21.6,0
322,0.0490405098,62786.8959148501,23.67,0
323,0.0315177333,87448.5071713044,24.63,0
324,0.06259721,54304.6381757528,23.14,0
325,0.1677084622,92652.8366220516,21.0,0
326,0.0055533491,14882.7113882951,28.4,0
327,0.0667659413,27678.8134989376,23.0,0
328,0.096506147,53940.3813282056,22.2,0
329,0.1019893859,49475.9234901096,22.08,0
330,0.160160338,85055.1859342253,21.1,0
331,0.0921626549,42192.0883715598,22.3,0
332,1.1818299089,29134.6103060234,16.76,0
333,0.7354530894,19608.7846354889,17.79,0
334,0.1838886721,35998.1888492834,20.8,0
335,0.6376097899,112359.5715294274,18.1,0
336,0.1838886721,17082.5001334524,20.8,0
337,0.0584191154,71503.9349405274,23.29,0
338,0.0506471459,54118.8588476297,23.6,0
339,0.0253837029,22280.9497773955,25.1,0
340,0.0150160248,41796.4843677161,26.24,0
341,0.1460679643,61595.9689505789,21.3,0
342,0.4023045798,73215.5004724637,19.1,0
343,0.3346223745,54337.5974732965,19.5,1
344,0.208235599,33386.8626083672,20.53,0
345,0.0127219879,62687.9763786359,26.6,0
346,0.0139493823,27171.5770710958,26.4,0
347,0.1272198785,30347.9381572078,21.6,1
348,0.2914439045,41768.0558893624,19.8,0
349,0.3669061375,88452.330981264,19.3,0
350,0.0101054342,29141.7886711929,27.1,0
351,0.0689532874,49100.5231598606,22.93,0
352,0.208235599,33386.8626999972,20.53,0
353,0.0880146521,78370.1587631077,22.4,0
354,0.0702352248,41875.4374911594,22.89,0
355,0.135692229,18311.5882332275,21.46,0
356,0.0073207399,19652.6189946863,27.8,0
357,0.477040198,85517.637791715,18.73,0
358,0.0421264611,25203.6745757273,24.0,0
359,0.0231502122,52684.4481918829,25.3,0
360,0.0667659413,62373.8665241503,23.0,0
361,0.0840533402,48733.6624507285,22.5,0
362,0.0532788665,39395.8722662431,23.49,0
363,0.0699125232,46748.1255698524,22.9,0
364,0.3669061375,42755.547468609,19.3,0
365,0.0152951935,27975.9068431216,26.2,0
366,0.3195618867,76492.1520205448,19.6,0
367,0.1623883902,39299.689291,21.07,1
368,0.063760979,45915.5820535391,23.1,0
369,0.1394938229,74406.2546399684,21.4,1
370,0.0766575574,55895.1597781927,22.7,0
371,0.0088014652,57514.4288905216,27.4,0
372,0.046190746,62049.6035788082,23.8,0
373,0.4576726672,24679.965520133,18.82,0
374,0.0231502122,16259.0303200979,25.3,0
375,0.0305179233,67086.7043438484,24.7,0
376,0.4004561582,70633.6615363428,19.11,0
377,0.0732073989,31498.117566524,22.8,0
378,0.0343997255,58991.3492880092,24.44,0
379,0.0068953287,34560.0714801552,27.93,0
380,0.0530340723,26896.2235401472,23.5,0
381,0.4004561582,70633.6600669459,19.11,0
382,0.0231502122,42101.4205175713,25.3,0
383,0.0366906138,63366.1697405376,24.3,0
384,0.0334622374,57369.7654754688,24.5,0
385,0.4704949611,60334.833029346,18.76,1
386,0.6645917971,76061.3671759025,18.01,0
387,0.9216265485,95444.1462080891,17.3,0
388,0.4972273129,9582.6695716707,18.64,0
389,0.1160259082,83508.5670170854,21.8,1
390,0.0305179233,34073.4102106668,24.7,0
391,0.0226232491,84108.5652587818,25.35,0
392,2.2727673228,30748.3116196996,15.34,1
393,0.5230641758,70082.757061938,18.53,1
394,0.0160160338,41118.5423860506,26.1,0
395,0.0183888672,12163.2517136039,25.8,0
396,0.0133215567,89113.6794177443,26.5,0
397,0.0384197891,70947.0380547896,24.2,0
398,0.0031517733,57859.004178373,29.63,0
399,0.0224158379,81821.8295357008,25.37,0
400,0.0766575574,17802.4332520053,22.7,0
401,0.2111324448,74368.3444538864,20.5,0
402,0.2272767323,91297.3714144103,20.34,1
403,0.1108038821,54625.7975509174,21.9,0
404,0.02658,60581.8104589699,25.0,0
405,0.1058168859,42909.7474039054,22.0,0
406,1.0152078719,42909.7474039054,17.09,0
407,0.3895426161,25831.0813248167,19.17,0
408,0.0483676488,32095.6261830329,23.7,0
409,0.0278326768,30736.3431643093,24.9,0
410,0.0088014652,74014.6223872105,27.4,0
411,0.0319561887,79016.6740620301,24.6,0
412,0.0192555078,21505.5876805559,25.7,0
413,0.011131533,56284.4014121506,26.89,0
414,0.0481454197,61967.7982529089,23.71,0
415,0.1756123185,70210.1150723963,20.9,0
416,0.022108281,38539.1226721352,25.4,0
417,0.0088014652,85694.2576388312,27.4,0
418,0.0027832677,20936.456685502,29.9,0
419,0.0101054342,66076.5069357995,27.1,0
420,0.008405334,69843.4975269785,27.5,0
421,0.0322518756,38381.6446305235,24.58,0
422,0.5630603897,49788.5563969218,18.37,1
423,0.2016299194,24279.7505438157,20.6,0
424,0.0921626549,107968.7958419693,22.3,0
425,0.0384197891,50974.9356080646,24.2,0
426,0.1529519353,6364.2867625907,21.2,0
427,0.0116025908,84388.587545637,26.8,0
428,0.0152951935,9768.0578590741,26.2,0
429,0.1082816778,69630.3054098982,21.95,0
430,1.8053232555,127074.1313123845,15.84,0
431,0.2783267681,94844.3169359131,19.9,0
432,0.0319561887,29475.7967983752,24.6,0
433,0.0319561887,55978.326578457,24.6,0
434,0.160160338,129960.8927510987,21.1,0
435,0.0096506147,67747.7742187349,27.2,0
436,0.0116025908,28531.3218307677,26.8,0
437,0.0228325794,44824.6516640256,25.33,0
438,0.3346223745,68773.7866369028,19.5,1
439,0.0279611466,81981.7988738515,24.89,0
440,1.6693791177,109096.7165675449,16.01,1
441,0.2538370294,89332.1904249932,20.1,0
442,0.0530340723,34159.7143404133,23.5,0
443,0.0766575574,52954.186946215,22.7,0
444,0.0253837029,54016.4454968167,25.1,0
445,0.2111324448,65041.4904213928,20.5,0
446,0.0699125232,67285.5668933969,22.9,0
447,0.0101054342,33658.7213065677,27.1,0
448,0.1034081995,51556.2064529544,22.05,0
449,0.1010543415,51556.2065242978,22.1,0
450,0.6676594135,46439.0043580796,18.0,0
451,0.930154254,53035.5104602157,17.28,1
452,0.2469192656,62284.4063363812,20.16,1
453,0.2573682542,35536.2658414016,20.07,0
454,0.3122877701,118512.0393122833,19.65,0
455,0.002658,11782.5930572463,30.0,0
456,0.3051792326,63875.1490435066,19.7,1
457,0.2315021222,72997.918303131,20.3,0
458,0.0183888672,30339.6163785229,25.8,0
459,0.0096506147,71861.25565301,27.2,0
460,0.0190789723,14353.5620332703,25.72,0
461,0.0508809225,98278.3123941114,23.59,0
462,1.0012786977,73247.2581149255,17.12,1
463,0.1838886721,65650.4217656626,20.8,1
464,0.3503926411,89979.0242232517,19.4,1
465,0.4949427609,80976.4231441342,18.65,1
466,0.2538370294,34747.4926371919,20.1,0
467,0.2597496533,72420.0228819968,20.05,0
468,0.0201629919,17710.0735320262,25.6,0
469,0.02658,57765.3707870071,25.0,0
470,0.0133215567,84795.86648034,26.5,0
471,0.2016299194,66737.0725431336,20.6,0
472,0.2401900301,69780.0641989615,20.22,1
473,0.138852907,30359.607480415,21.41,0
474,0.1160259082,31635.8776035862,21.8,0
475,0.2368944994,34747.4919776055,20.25,0
476,0.2492039814,100502.0149493185,20.14,1
477,0.2210828104,51352.9685192372,20.4,0
478,0.0175612318,60184.0213678253,25.9,0
479,0.0050647146,98368.8119186335,28.6,0
480,0.0242412481,16944.470134195,25.2,0
481,0.7701139256,81986.5301546686,17.69,1
482,0.4619074603,33940.2621870822,18.8,0
483,0.2694976463,38071.8899424299,19.97,1
484,0.063760979,78976.8613123963,23.1,0
485,0.4661814374,64555.7690091726,18.78,1
486,0.022108281,25408.8986605134,25.4,0
487,0.0876102615,68444.684191103,22.41,0
488,0.079534394,38205.8789449021,22.62,0
489,0.4661814374,54928.1006199187,18.78,0
490,0.0384197891,52157.7137207124,24.2,0
491,0.0101054342,61023.6749359742,27.1,0
492,0.0105816886,26019.707853047,27.0,0
493,0.0231502122,60234.4401152188,25.3,0
494,0.7187121332,66440.0871236282,17.84,0
495,0.4836764882,96235.5529922051,18.7,0
496,0.0278326768,22482.2235411053,24.9,0
497,0.0699125232,102151.160818538,22.9,0
498,0.1529519353,48845.2726820779,21.2,1
499,0.0121494041,23308.0155795393,26.7,0
500,0.0076657557,30883.1098507872,27.7,0
501,0.0088014652,27349.4008205585,27.4,0
502,0.313729225,39861.4766731866,19.64,0
503,0.0470494961,42864.9239934601,23.76,0
504,0.5977987142,55538.0671935917,18.24,1
505,0.2210828104,66315.0370607352,20.4,0
506,0.0732073989,106480.8617429513,22.8,0
507,0.0146067964,17919.9726123428,26.3,0
508,0.0319561887,37708.2585436702,24.6,0
509,0.2315021222,66866.9529014104,20.3,0
510,0.0384197891,14953.7719602624,24.2,0
511,0.02658,18884.6265485329,25.0,0
512,0.0116025908,51790.9350041561,26.8,0
513,0.7491261831,33945.1407146664,17.75,0
514,0.2874451443,67939.3869204002,19.83,0
515,0.096506147,11396.2211169821,22.2,0
516,0.1756123185,65340.6595584804,20.9,0
517,0.0211132445,39459.8329146648,25.5,0
518,0.0363542322,19451.0671287853,24.32,0
519,0.2469192656,75745.6060412873,20.16,0
520,0.0175612318,40883.7828438659,25.9,0
521,0.1160259082,59719.4524544249,21.8,1
522,0.0022623249,44523.7496223282,19.5,0
523,0.3346223745,56748.4351099528,19.5,0
524,0.0231502122,30310.6530188946,25.3,0
525,0.1638909515,66337.827404468,21.05,1
526,0.1394938229,59467.9474258132,21.4,0
527,0.008405334,22890.7863199604,27.5,0
528,0.0802703167,39810.8056550753,22.6,0
529,0.160160338,72345.0225485927,21.1,0
530,0.0092162655,27359.5506143444,27.3,0
531,0.0356906927,35417.9506051308,24.36,0
532,0.0319561887,84736.8408170426,24.6,0
533,0.3602093458,92711.4468259741,19.34,0
534,0.2007035141,37232.2113534904,20.61,0
535,0.1332155667,56852.0095435128,21.5,0
536,0.0766575574,23434.2127104206,22.7,0
537,0.0667659413,57996.9236676143,23.0,0
538,0.1108038821,22829.4382359279,21.9,0
539,0.0152951935,50065.5871008295,26.2,0
540,0.1113153296,29512.0381965172,21.89,0
541,0.0193443872,24771.5036810311,25.69,0
542,0.1943367684,34832.1877944473,20.68,0
543,0.0880146521,47124.6627873434,22.4,0
544,0.096506147,37564.8260299499,22.2,0
545,0.0182202771,41913.4070947327,25.82,0
546,0.0073207399,34884.7979675625,27.8,0
547,0.0802703167,73608.0626431159,22.6,0
548,0.0350392641,72779.9650637627,24.4,0
549,0.1272198785,16771.7774456659,21.6,0
550,0.4023045798,86766.6283270916,19.1,0
551,0.0015723708,42076.7271593003,26.2,0
552,0.0152951935,62343.3878389868,26.2,0
553,0.0483676488,25338.9499734305,23.7,0
554,0.0366906138,43818.0090172988,24.3,0
555,0.0073207399,17827.8932799342,27.8,0
556,0.0840533402,65340.7654469501,22.5,0
557,0.3618719966,72148.0420370279,19.33,0
558,0.0258556212,15529.2164015932,25.06,0
559,0.1295850727,67169.2954545788,21.56,0
560,0.0384197891,58792.7867154354,24.2,0
561,0.0242412481,57694.248128542,25.2,0
562,0.022108281,22513.1694609489,25.4,0
563,0.0042516252,51804.875552315,28.98,0
564,0.0062023315,21969.0397544139,28.16,0
565,0.0088014652,20164.9638917548,27.4,0
566,0.0288771931,96964.8081794474,24.82,0
567,0.1394938229,121717.2658658558,21.4,1
568,0.063760979,14593.4273930687,23.1,0
569,0.0334622374,22613.5527809847,24.5,0
570,0.0167708462,68548.1585376697,26.0,0
571,0.1237527837,63701.8561779739,21.66,0
572,0.0732073989,39139.469224861,22.8,0
573,0.3051792326,33221.7571673609,19.7,0
574,0.0160160338,58533.711313662,26.1,0
575,0.0366906138,88324.6729120744,24.3,0
576,0.1952337862,91607.0295850168,20.67,0
577,0.1925550782,28100.8266859216,20.7,1
578,0.0384197891,16689.4845648395,24.2,0
579,0.1058168859,36021.1644801598,22.0,0
580,0.0116025908,47744.20831608,26.8,0
581,0.0921626549,82087.8568028831,22.3,0
582,0.04411182,74716.0840987337,23.9,0
583,0.1925550782,28100.8268424058,20.7,1
584,0.0117099483,56112.4738007284,26.78,0
585,1.7240703244,12964.9848773642,15.94,0
586,0.4726666672,98361.3109292014,18.75,0
587,0.7287104149,35442.8246333741,17.81,0
588,0.2210828104,71262.8676482389,20.4,0
589,0.0253837029,57908.0330604324,25.1,0
590,0.046190746,60898.0071625146,23.8,0
591,0.2325706875,43892.4453158448,20.29,1
592,0.0174002295,21873.4223761519,25.92,0
593,0.0192555078,58091.6284849595,25.7,0
594,0.7630534787,86952.8920460872,17.71,1
595,0.1010543415,81472.3476049901,22.1,0
596,0.0766575574,61344.9007436718,22.7,0
597,0.1394938229,95312.9785364111,21.4,1
598,0.1272198785,72180.2827727327,21.6,1
599,0.0384197891,68500.9455406679,24.2,0
600,0.0152951935,33939.0875721815,26.2,0
601,0.0183888672,77326.4030003359,25.8,0
602,0.0840533402,50228.3712446312,22.5,0
603,0.0086807046,28600.8357739973,27.43,0
604,0.1434019235,95312.9789560649,21.34,1
605,0.1214940408,8071.7917427087,21.7,0
606,0.1214940408,22955.6230931086,21.7,1
607,0.2210828104,26777.9172577973,20.4,1
608,0.0802703167,62427.7579226018,22.6,0
609,0.0139493823,9571.7842463457,26.4,0
610,0.0076657557,43167.1300469377,27.7,0
611,0.0780827277,62427.7576414822,22.66,0
